idx,t_s,x_m,y_m,vel_mps,heading_x,heading_y,spreading,dose_alvo_kg_ha
308,75.9096,187.3262,-70.1866,6.8900,-1.000000,0.000000,1,100.000000
309,76.0548,186.3262,-70.1866,6.8853,-1.000000,0.000000,1,100.000000
310,76.2002,185.3262,-70.1866,6.8804,-1.000000,0.000000,1,100.000000
311,76.3456,184.3262,-70.1866,6.8754,-1.000000,0.000000,1,100.000000
312,76.4912,183.3262,-70.1866,6.8703,-1.000000,0.000000,1,100.000000
313,76.6368,182.3262,-70.1866,6.8651,-1.000000,0.000000,1,100.000000
314,76.7826,181.3262,-70.1866,6.8598,-1.000000,0.000000,1,100.000000
315,76.9285,180.3262,-70.1866,6.8544,-1.000000,0.000000,1,100.000000
316,77.0745,179.3262,-70.1866,6.8489,-1.000000,0.000000,1,100.000000
317,77.2206,178.3262,-70.1866,6.8433,-1.000000,0.000000,1,100.000000
318,77.3669,177.3262,-70.1866,6.8376,-1.000000,0.000000,1,100.000000
319,77.5133,176.3262,-70.1866,6.8319,-1.000000,0.000000,1,100.000000
320,77.6598,175.3262,-70.1866,6.8261,-1.000000,0.000000,1,100.000000
321,77.8064,174.3262,-70.1866,6.8202,-1.000000,0.000000,1,100.000000
322,77.9531,173.3262,-70.1866,6.8143,-1.000000,0.000000,1,100.000000
323,78.1000,172.3262,-70.1866,6.8084,-1.000000,0.000000,1,100.000000
324,78.2470,171.3262,-70.1866,6.8024,-1.000000,0.000000,1,100.000000
325,78.3941,170.3262,-70.1866,6.7965,-1.000000,0.000000,1,100.000000
326,78.5414,169.3262,-70.1866,6.7905,-1.000000,0.000000,1,100.000000
327,78.6888,168.3262,-70.1866,6.7845,-1.000000,0.000000,1,100.000000
328,78.8363,167.3262,-70.1866,6.7785,-1.000000,0.000000,1,100.000000
329,78.9840,166.3262,-70.1866,6.7725,-1.000000,0.000000,1,100.000000
330,79.1318,165.3262,-70.1866,6.7666,-1.000000,0.000000,1,100.000000
331,79.2797,164.3262,-70.1866,6.7608,-1.000000,0.000000,1,100.000000
332,79.4277,163.3262,-70.1866,6.7550,-1.000000,0.000000,1,100.000000
333,79.5759,162.3262,-70.1866,6.7493,-1.000000,0.000000,1,100.000000
334,79.7242,161.3262,-70.1866,6.7436,-1.000000,0.000000,1,100.000000
335,79.8726,160.3262,-70.1866,6.7381,-1.000000,0.000000,1,100.000000
336,80.0211,159.3262,-70.1866,6.7327,-1.000000,0.000000,1,100.000000
337,80.1698,158.3262,-70.1866,6.7275,-1.000000,0.000000,1,100.000000
338,80.3185,157.3262,-70.1866,6.7224,-1.000000,0.000000,1,100.000000
339,80.4674,156.3262,-70.1866,6.7174,-1.000000,0.000000,1,100.000000
340,80.6164,155.3262,-70.1866,6.7127,-1.000000,0.000000,1,100.000000
